,cluster,average_acousticness,average_danceability,average_energy,average_instrumentalness,average_key,average_liveliness,average_loudness,average_mode,average_speechiness
0,0,0.2584441509812271,0.5637777722152675,0.6295720400500634,0.1257544680851064,5.260325406758448,0.18151461827284154,-8.590992740926154,0.6247809762202754,0.051181852315394245
1,1,0.30364243817441866,0.5338600387596891,0.5974113682170518,0.7212763565891469,5.118217054263566,0.1774117441860469,-9.842461627906962,0.6104651162790697,0.06116937984496122
2,2,0.2216307707667408,0.6578011329152322,0.6569261379728898,0.0029109015355047625,5.359700586688246,0.22809433542383195,-7.396753995549267,0.5664576168318834,0.3903275338863036
3,3,0.26740807107315384,0.5747396245195463,0.6248310753257798,0.002916907652022104,5.176913771189685,0.1805068444022483,-7.402514524600729,0.7079154097055266,0.04349266955576345
4,4,0.25789743423940187,0.5707883624272647,0.6296939625935168,0.30166583541147124,5.459684123025769,0.18200236907730694,-8.851737738985854,0.6047381546134664,0.061607273482959274
5,5,0.5445851724137931,0.6112959770114945,0.5863698275862073,0.004022999770114943,4.925287356321839,0.43709339080459775,-11.633350574712644,0.6522988505747126,0.787310344827586
6,6,0.5184864107324115,0.4697692799669912,0.4547910666391584,0.8889709098411402,5.068702290076335,0.16113637301423572,-13.278175778832273,0.6267794512069321,0.053943924076748376
7,7,0.17280143765735387,0.6332195501393698,0.7243443780385062,0.0027706988254359304,5.3305892266804955,0.20967263239774422,-6.295969274648386,0.5887729305762623,0.12174037077850604
8,8,0.1778098084615383,0.6840921350739014,0.698933390872803,0.0031753190581508338,5.468335311252562,0.21645867623260306,-6.501658862876268,0.5665120293451289,0.24627974970331223
9,9,0.2740829295169087,0.5557536231884056,0.6324640724637683,0.5059439613526583,5.22463768115942,0.18391164251207748,-8.92313864734299,0.6120772946859904,0.060274444444444374
